sku;Nombre Articulo;Grupo articulo;Sub Grupo;NORMAL;VALOR OFERTA INCLUYENDO DESPACHO;FECHA
HW-J250/ZS;SOUND BAR SAMSUNG  2.2 80W BLUETOOTH;AUDIO VIDEO;SOUND BAR;$ 79.990;$ 63.990;05-09-2016
HW-K360/ZS;SOUND BAR SAMSUNG 130W BLUETOOTH K360;AUDIO VIDEO;SOUND BAR;$ 134.990;$ 109.990;05-09-2016
UN32J4000AGXZS;"LED 32"" SAMSUNG HD J4000 120 CMR";AUDIO VIDEO;LED;$ 209.990;$ 159.990;05-09-2016
UN40J5200AGXZS;"LED 40"" SAMSUNG FULL HD SMART TV SERIE 5";AUDIO VIDEO;LED;$ 329.990;$ 239.990;05-09-2016
UN55KU6000GXZS;"LED SAMSUNG 55"" UHD SMART TV FLAT SERIE 6";AUDIO VIDEO;LED;$ 749.990;$ 534.990;05-09-2016
VCC4470S3O/XZS;ASPIRADORA SAMSUNG ORANGE 2000W TAMBOR 1.3LT;DIGITAL APPLIANCE;ASPIRADORAS;$ 59.990;$ 44.990;05-09-2016
ME0113MB1/XZS;MICROONDA SAMSUNG DIGITAL 32LT ESPEJADO ME0113;DIGITAL APPLIANCE;MICROONDAS;$ 79.990;$ 64.990;05-09-2016
WD10J6410AW/ZS;LAVADORA SECADORA SAMSUNG 10.5KG/6KG WHITE;DIGITAL APPLIANCE;LAV FRONTAL COMBI;$ 509.990;$ 384.990;05-09-2016
WA90H4400SW/ZS;LAVADORA SUPERIOR SAMSUNG 9KG WHITE WA90H4400 + GRATIS MICROONDAS SAMSUNG MW732;DIGITAL APPLIANCE;LAV SUPERIOR;$ 189.990;$ 184.990;05-09-2016
RB29FERNDSS/ZS;REFRIGERADOR SAMSUNG 295LT INOX COMBI;DIGITAL APPLIANCE;REF DOS PUERTAS;$ 429.990;$ 374.990;05-09-2016
RT29K5030S8/ZS;REFRIGERADOR SAMSUNG 298 NO FROST SILVER;DIGITAL APPLIANCE;REF DOS PUERTAS;$ 379.990;$ 309.990;05-09-2016
SM-R7200ZKACHO;SMARTWACH SAMSUNG GEAR S2 SPORT BLACK;TELECOMUNICACIONES;GEAR;$ 259.990;$ 209.990;05-09-2016
SM-R322NZWACHO;LENTES DE REALIDAD GEAR VR 2 WHITE;TELECOMUNICACIONES;GEAR;$ 119.990;$ 104.990;05-09-2016
SM-G930;SAMSUNG GALAXY S7 FLAT 32 GB LIBERADO;TELECOMUNICACIONES;SMARTPHONE;$ 649.990;$ 649.990;05-09-2016
SM-G935;SAMSUNG GALAXY S7 EDGE 32 GB LIBERADO;TELECOMUNICACIONES;SMARTPHONE;$ 739.990;$ 739.990;05-09-2016
SM-J200;SAMSUNG GALAXY J2 LIBERADO;TELECOMUNICACIONES;SMARTPHONE;$ 129.990;$ 114.990;05-09-2016
SM-J320;SAMSUNG GALAXY J3 2016 DUOS LIBERADO;TELECOMUNICACIONES;SMARTPHONE;$ 169.990;$ 144.990;05-09-2016
SM-J700;SAMSUNG GALAXY J7 DUOS LIBERADO;TELECOMUNICACIONES;SMARTPHONE;$ 249.990;$ 214.990;05-09-2016
SM-T113;TABLET SAMSUNG GALAXY TAB E 7.0' SM-T113;TELECOMUNICACIONES;TABLET;$ 99.990;$ 82.990;05-09-2016
SM-T560;TABLET SAMSUNG GALAXY TAB E 9.6 WIFI;TELECOMUNICACIONES;TABLET;$ 169.990;$ 159.990;05-09-2016
